s1,s2,s3,s4,s5,s6
71.8,104.5,71.1,51.5,94.9,84
70.5,99.7,72.5,52.4,94.8,84.3
69.4,95.9,73.6,53.1,94.5,84.9
67.5,92.6,74.7,53.5,94.4,85
65.3,89.7,75.6,53.9,94.1,86.5
62.7,87.4,76.5,54.3,93.9,87.4
60.5,85.9,77.2,54.5,93.7,87.8
59.9,85.6,77.6,54.5,93.8,87.3
61.6,86.6,77.5,54.2,93.9,86.7
64.2,87.8,76.8,53.9,94.1,86
66.5,88.6,75.2,53.5,94.3,85.5
68.1,89.8,73.7,53.4,94.6,84.9
69.6,91,72.3,53.2,94.9,84.7
70.9,92.2,71.2,52.9,95.1,84.7
71.9,93.1,70,52.6,95.3,84.3
72.9,93.8,69.1,52.1,95.3,84
73.7,94.5,68.3,51.7,95.3,83.9
74.2,94.9,67.3,51.1,95.5,83.8
74.7,95.3,66.5,50.8,95.6,83.6
75,95.7,65.8,50.4,95.4,83.5
75.1,95.9,65.6,50,95.5,83.3
75.4,96,64.8,49.8,95.4,83.7
75.6,96.2,64,49.2,95.3,83.9
76.1,96.3,63.5,48.7,95.4,84.3
76.5,96.5,63,48.3,95.5,84.9
76.9,96.9,62.7,48.2,95.5,85.3
77.5,96.9,62.6,48.1,95.4,85.7
77.9,97.1,62.6,48.3,95.4,85.8
78.2,97.3,63.4,48.5,95.5,85.8
78.4,97.4,64.5,48.9,95.4,85.6
78.3,97.3,65.9,49.6,95.3,85
77.6,97.2,67.4,50.9,95.4,84.2
76.9,96.6,69,52.1,95,83.8
76,96.2,70.5,53.1,94.8,82.1
75.1,95.8,71.8,53.9,94.5,82.6
74.3,95.2,73.3,54.9,94.3,83.8
73.4,94.4,74.9,55.7,94,84.4
72.5,93.6,76.2,56.9,93.7,84.3
71.8,92.8,77.6,58,93.4,83.5
71.1,92.3,79.2,58.8,92.9,83.3
70.1,91.7,80.8,59.4,92.3,83.5
69.1,91,82.3,60,91.6,83.6
67.2,90.2,83.4,60.1,90.9,83.6
64.9,88.8,84.2,60,90,85.4
62.2,87,85.1,60,88.7,86.8
59.4,85.4,85.8,59.6,87.6,87.3
57.2,84.2,86.3,59.5,86.8,87.7
55.3,83.3,86.8,59.5,86.1,87.7
53.9,82.8,87.3,59.6,85.6,87.6
53.3,82.7,87.6,59.7,85.4,86.9
53.2,82.9,87.6,59.9,85.4,86.4
53.5,83.2,87.6,60,85.6,85.2
54.2,83.5,87.8,60.2,86.2,84.2
54.9,83.8,87.7,60.3,86.6,83.6
55.7,84.3,87.6,60.5,86.8,83.5
56.5,84.7,87.4,60.7,87.2,83.6
57.9,85.5,86.9,60.8,87.6,83.2
58.9,86.2,86.8,60.8,87.9,83.7
59.9,87,86.5,60.5,88.4,84.1
60.7,87.5,86.2,60.2,88.8,84.6
60.8,87.9,86.1,59.6,89.1,85.8
60.4,88,85.8,59.2,89.5,86.7
59.2,87.8,85.4,58.7,89.9,87.7
57.8,87.3,84.9,58.4,90.2,88.6
56.9,86.5,84.5,58,90.8,89.8
56.2,85.7,84,57.5,91.3,90.7
55.2,84.5,83.1,56.4,91.5,91.1
54.3,83.2,82.4,55,91.9,91.3
53.8,82,81.5,53.4,92.1,91.4
52.9,81,80.6,52,92.3,91.8
51.6,80.2,79.6,50.5,92.4,92
49.9,79.3,78.5,49,92.3,92.1
47.9,77.8,77,47.1,92.2,92.2
44.1,74.7,75.4,44.5,92,92
38.5,68.7,73.2,41.3,91.7,91.6
30,55.9,70.3,38.3,91.2,90.9
19.8,36.5,66.6,35.7,90,90.2
12.7,23.4,61.1,32.4,88,89.5
8.1,15,48.1,27.6,85.1,88.2
5.2,9.6,31.5,22,79.9,86.6
3.4,6.2,20.2,14.9,72.2,84.1
2.2,4,13,9.6,57.2,80
1.4,2.5,8.3,6.2,36.8,66.5
0.9,1.6,5.3,3.9,23.6,42.7
0.6,1,3.4,2.5,15.2,27.4
0.4,0.7,2.2,1.6,9.7,17.6
0.2,0.4,1.4,1,6.2,11.3
0.2,0.3,0.9,0.7,4,7.2
0.1,0.2,0.6,0.4,2.6,4.6
0.1,0.1,0.4,0.3,1.7,3
0,0.1,0.2,0.2,1.1,1.9
0,0,0.2,0.1,0.7,1.2
0,0,0.1,0.1,0.4,0.8
0,0,0.1,0,0.3,0.5
0,0,0,0,0.2,0.3
0,0,0,0,0.1,0.2
0,0,0,0,0.1,0.1
0,0,0,0,0,0.1
0,0,0,0,0,0.1
0,0,0,0,0,0
