s1,s2,s3,s4,s5,s6
50.9,91.5,84.6,72.9,94.8,69.4
50.9,91.5,84.7,72.9,94.7,69.4
51,91.5,84.6,72.9,94.6,69.4
50.8,91.4,84.6,72.8,94.7,69.5
50.8,91.4,84.6,72.8,94.6,69.4
50.6,91.5,84.5,72.8,94.8,69.4
50.3,91.4,84.5,72.7,94.8,69.5
50.1,91.4,84.2,72.8,94.8,69.6
49.5,91.2,84.1,72.8,94.8,69.7
48.4,91,84,72.8,94.9,69.8
47,91,84,72.6,94.9,69.9
44.8,90.7,84,72.4,94.9,70
43.3,90.5,84,72.5,94.8,70.1
42.3,90.6,83.8,72.6,94.9,70.2
41.9,90.5,83.7,72.5,94.9,70.2
42,90.3,83.7,72.5,94.9,70.3
42.2,90.3,83.8,72.5,95,70.2
42.8,90.4,83.9,72.4,95,70.3
43.5,90.4,83.9,72.5,94.9,70.3
43.9,90.5,84,72.6,94.8,70.3
44.1,90.5,84,72.7,94.8,70.3
44.3,90.5,84.2,72.7,95,70.3
44.4,90.5,84.3,72.5,95,70.4
44.6,90.6,84.2,72.6,94.9,70.1
44.8,90.5,84.2,72.6,95,70.1
44.8,90.5,84.2,72.6,95,70.1
44.6,90.4,84.4,72.5,94.9,70.3
43.9,90.4,84.4,72.5,94.9,70.4
43.4,90.4,84.3,72.5,95,70.4
43.4,90.4,84.2,72.4,94.9,70.3
43.7,90.4,84.3,72.5,94.9,70.1
44,90.4,84.2,72.5,94.9,70
44.1,90.4,84.2,72.4,94.9,70
44.2,90.3,84,72.4,94.9,70
44.3,90.3,84.1,72.5,95,70
44.5,90.3,84,72.4,94.9,69.9
44.7,90.2,83.9,72.4,94.8,69.8
44.9,90.2,83.9,72.4,95,69.9
45,90.2,83.8,72.4,94.9,69.8
45,90.2,83.9,72.5,95,69.8
45,90.2,84.1,72.5,95,69.7
45.1,90.3,84.1,72.4,95.1,69.8
45.4,90.3,84.2,72.4,95.1,69.8
45.7,90.5,84.3,72.4,95.1,69.9
45.8,90.4,84.2,72.6,95,69.9
45.9,90.3,84.2,72.5,94.9,69.9
45.8,90.3,84.1,72.4,94.9,69.9
45.6,90.2,84.1,72.5,95,70
45.3,90.4,84,72.5,95,70
45.1,90.2,84.1,72.5,95,70.1
44.5,90.2,84,72.5,95.2,70.1
43.9,90.2,84.1,72.5,95.3,69.9
43.5,90.1,84.2,72.5,95.2,70.1
43.2,90.2,84.3,72.5,95,70
42.9,90.2,84.2,72.5,95,70
42.8,90.2,84.2,72.5,95,70
42.7,90.1,84.2,72.5,94.9,70
42.6,90.1,84.2,72.6,94.7,70.1
42.5,90.2,84.2,72.5,94.8,70.2
42.1,90.3,84.3,72.4,94.9,70.1
41.8,90.3,84.4,72.5,94.9,70.2
41.8,90.3,84.4,72.4,95,70.2
41.9,90.3,84.4,72.4,94.9,70.1
42,90.4,84.6,72.5,94.9,70
42.5,90.4,84.6,72.7,94.9,70
42.9,90.5,84.5,72.7,94.9,70.1
43.4,90.5,84.5,72.6,94.9,70.1
43.9,90.6,84.5,72.7,95,70.1
44.5,90.6,84.5,72.6,95,70.1
45.2,90.7,84.5,72.7,95,70.1
45.8,90.8,84.4,72.8,95.1,70
46.2,90.8,84.4,72.8,94.9,70
46.6,90.9,84.5,72.8,94.9,70
47.2,91,84.5,72.7,95,70
47.9,91,84.5,72.6,95,69.8
48.3,91.2,84.6,72.6,95,69.8
48.6,91.2,84.6,72.6,95.1,69.9
48.8,91.3,84.5,72.6,95.1,69.8
48.9,91.2,84.5,72.6,95,69.9
48.9,91.2,84.5,72.7,95.1,69.9
48.8,91.1,84.6,72.7,95,69.9
48.8,91.1,84.6,72.6,94.9,69.8
48.8,91,84.7,72.6,94.8,69.9
48.7,90.9,84.7,72.6,94.8,70
48.3,90.9,84.6,72.5,94.9,69.9
47.9,90.9,84.5,72.5,95,69.9
47.5,90.7,84.4,72.5,95,69.9
47.1,90.6,84.2,72.6,95,70
47,90.6,84.2,72.6,94.9,70.1
47.1,90.7,84.1,72.8,95,70.1
47.2,90.7,84.1,72.9,94.9,70.1
47.4,90.8,84.2,72.7,94.9,70.1
47.7,90.8,84.1,72.7,95,70.1
48,90.7,84.2,72.6,95,70.1
48,90.9,84.1,72.7,95,70.1
48.1,90.8,84.2,72.7,95.1,70.1
48.1,90.9,84,72.5,95.1,70.1
48.4,91,83.9,72.5,95.1,70.1
48.6,91.1,83.9,72.5,95.2,70.1
48.9,91.1,83.9,72.4,95.1,70.2
49.3,91,83.7,72.4,95.1,70.2
49.4,91,83.7,72.5,95.2,70
49.5,91.1,83.6,72.5,95.1,70
49.6,91.1,83.6,72.5,95.2,70.1
49.5,91.1,83.6,72.3,95.3,70.3
49.4,91.2,83.6,72.3,95.3,70.2
49.6,91,83.7,72.3,95.3,70.3
49.6,91.1,83.5,72.2,95.2,70.4
49.6,91,83.5,72.2,95.3,70.3
