s1,s2,s3,s4,s5,s6
85.6,96,72.1,75.5,80.2,24.9
85.3,96,72.5,75.7,80.2,25.6
85.3,96,72.6,75.9,80.3,26.3
85.1,96.2,72.9,75.9,80.4,26.9
84.9,96.2,72.9,76.1,80.6,27.4
84.7,96.1,72.9,76.1,80.8,28
84.6,96,72.8,76.2,81,28.5
84.5,95.9,72.8,76.2,81.1,29.2
84.3,95.8,72.7,76.3,81.3,29.7
84.1,95.6,72.7,76.3,81.4,30.2
84,95.6,72.7,76.4,81.7,30.7
83.6,95.6,72.6,76.6,82,31.4
83.2,95.5,72.6,76.8,82.2,31.8
82.9,95.4,72.8,76.9,82.4,32
82.7,95.3,73.1,76.9,82.9,32.2
82.7,95.3,73.5,77,83.1,32.6
82.5,95.1,73.9,77,83.3,32.9
82.5,95.1,74.1,77.1,83.4,33.4
82.4,94.9,74.3,77.2,83.5,33.8
82.1,94.8,74.6,77.2,83.6,34
81.8,94.8,74.8,77.2,83.7,34.1
81.7,94.9,75,77.2,83.7,34.3
81.6,94.7,75,77.4,83.6,34.3
81.4,94.7,75.1,77.5,83.7,34.2
81.2,94.8,75.3,77.6,83.7,34.3
81.1,94.8,75.3,77.8,83.6,34.2
81,94.9,75.4,77.8,83.7,34.2
80.9,94.8,75.5,77.8,83.6,34.2
80.9,94.9,75.5,77.8,83.4,34.1
80.9,94.8,75.4,77.9,82.9,33.9
81,94.9,75.5,78,82.4,33.6
81.1,94.9,75.5,77.9,82.2,33.4
81.4,94.8,75.6,77.8,82,33.3
81.5,94.9,75.5,77.9,81.9,33.2
81.6,94.8,75.7,78,81.8,33.1
81.7,94.9,75.9,78.1,81.7,33
81.8,94.9,76,78,81.6,32.6
82,94.9,76.3,77.9,81.2,32
82.1,94.9,76.4,77.8,80.6,31.1
82.3,94.9,76.6,77.6,80.1,29.9
82.3,94.9,76.9,77.5,79.6,28.7
82.4,95,77.1,77.3,79.2,27.1
82.6,95.1,77.3,77.1,79,26
82.7,95.1,77.6,77.2,78.6,25.1
82.9,95.1,78,77,78.4,24.3
83,95.2,78.1,77,78.1,23.9
83.1,95.2,78.2,76.9,77.8,23.1
83.2,95.1,78.4,76.9,77.4,21.9
83.4,95.3,78.6,77,76.8,20.3
83.5,95.4,79.1,76.9,75.8,18.7
83.7,95.4,79.6,76.9,74.6,17.2
84,95.4,80,76.9,73.4,15.2
84.1,95.5,80.5,76.9,72.3,13.2
84.2,95.7,80.9,76.8,70.2,11.6
84.4,95.6,81.1,76.7,68.4,10.2
84.5,95.8,81.5,76.4,66.7,8.7
84.7,95.6,81.8,76.1,64.6,7.3
84.9,95.6,82.2,75.8,62.1,6
84.8,95.6,82.5,75.3,59.3,4.3
85,95.7,82.9,75,55,2.8
85.2,95.7,83.4,74.6,49.1,1.8
85.2,95.7,83.9,73.9,41.8,1.1
85.3,95.8,84.4,73,35,0.7
85.6,95.9,84.7,72,29.8,0.5
85.7,96,84.9,70.8,25.4,0.3
85.9,96.1,85,70.1,21.7,0.2
85.9,96.1,85.1,69.5,19.6,0.1
85.8,96.2,85,69.2,18.6,0.1
85.8,96.2,84.9,69,19.2,0.1
85.8,96.2,84.8,69.1,20.9,0
85.6,96.2,84.7,69.5,23.6,0
85.5,96.2,84.7,70.1,27.7,0
85.3,96.1,84.5,70.8,32.1,0
85.2,96,84.2,71.5,37.3,0
84.7,95.8,83.9,72.4,44.1,0.8
84.2,95.7,83.6,73.4,50.9,3.9
83.6,95.8,82.9,74.3,57.7,7.2
83,96,82.2,75.1,62.8,9.9
82.6,96,81.7,75.6,66.4,12.3
82.1,96,81.5,76.1,68.8,14.2
81.6,96.1,81.2,76.3,70.3,15
81.2,96.3,81.1,76.5,71.2,15.6
80.9,96.3,81.1,76.5,71.8,15.7
80.6,96.4,81.2,76.6,72.2,15.8
80.4,96.3,81.1,76.7,72.2,15.8
80.1,96.4,81,76.8,72.2,15.7
79.9,96.3,81.2,76.8,72,15.6
79.6,96.3,81.5,76.8,71.5,15.3
79.3,96.3,81.7,76.9,71.2,14.8
79,96.3,82,76.9,70.5,14.5
78.8,96.4,82.2,77,69.9,14.3
78.6,96.3,82.6,77.1,69.2,14.1
78.4,96.4,82.8,77.3,68.8,13.9
78.4,96.4,83.1,77.3,68.6,13.9
78.3,96.4,83.1,77.4,68.6,14.1
78.4,96.3,83.1,77.4,68.7,14.5
78.4,96.3,83.3,77.5,68.6,14.5
78.4,96.3,83.4,77.5,68.2,14.4
78.6,96.3,83.3,77.5,67.4,14.3
78.7,96.4,83.4,77.4,66.8,14
78.7,96.4,83.4,77.4,66.3,13.8
78.7,96.3,83.3,77.2,66.1,13.6
78.7,96.3,83.3,77.1,66.6,13.7
78.9,96.2,83.1,77,67.7,14.1
79,96.1,82.7,77.2,68.7,14.8
79,96.1,82.5,77.2,69.7,15.2
79,96.1,82.2,77.2,70.8,15.3
78.9,96.3,81.9,77.3,71.8,15.6
78.8,96.4,81.5,77.3,72.8,16.2
78.7,96.3,81.2,77.3,74.1,17
78.6,96.4,80.7,77.6,75.5,17.9
78.3,96.3,79.9,77.6,76.8,19.1
77.9,96.2,79.2,77.8,78,20.6
77.3,96.1,78.4,77.9,79.4,23.2
76.8,96.1,77.6,78.1,80.8,26
76.1,96,76.9,78.4,82.1,28.4
75.4,95.8,76.4,78.7,83.1,30.2
74.7,95.6,76.1,78.8,84.1,31.7
73.9,95.7,75.9,79,84.6,33.2
73,95.5,76.1,79.2,84.9,34.2
72.3,95.4,76.3,79.3,84.9,34.7
71.6,95.4,76.7,79.4,84.8,34.9
71.2,95.2,77.2,79.5,84.6,35.1
71.1,95.2,77.6,79.5,84.3,34.8
71.1,95.2,78,79.8,84.1,34.6
71.2,95.4,78.5,79.8,83.6,34.4
71.3,95.4,79,79.9,83,34
71.7,95.4,79.6,79.7,82,33.4
72,95.6,80.1,79.6,80.8,32.5
72.1,95.8,80.9,79.4,79.5,31.3
72.5,95.9,82,79.3,78.1,29.6
73.2,95.9,83,79,76,27.4
74.2,95.7,84,78.7,72.6,23.8
75.1,95.6,84.8,78.3,67.7,18.8
76.1,95.4,85.5,77.7,60.8,13.6
77.4,95,85.8,76.7,52.3,8.7
78.7,94.6,86.1,75.8,44.8,5.6
80,94.4,86,75,39.7,3.6
81,94.2,85.9,74.5,37.5,2.3
82.1,94.1,85.6,74.1,37.9,1.5
82.8,94.1,85.5,74.1,41.5,0.9
83.4,94.1,85.4,74.5,45.9,0.6
83.9,94.2,85.1,74.9,49.6,1.3
84.4,94.2,85,75.2,52.6,2.2
84.7,94.3,84.6,75.5,54.7,2.9
84.9,94.5,84.2,75.6,56.4,3.7
85.1,94.7,83.9,75.7,58,4.3
85.3,94.8,83.7,75.8,59.5,5.2
85.3,94.9,83.3,76.1,61.5,6.8
85,94.9,82.9,76.2,63.8,8.3
84.9,95,82.8,76.4,66,9.4
84.8,94.9,82.7,76.6,67.3,10.2
84.6,95,82.5,76.6,68.3,10.9
84.5,95.1,82.4,76.6,69,11.3
84.4,95,82.5,76.8,69.3,11.4
